newsid,title,negative,url,source,time,storydate,candidate,story_position,panel_position,domain
3048,Howard Schultz town hall: one bad idea,1,https://www.vox.com/2019/4/8/18299463/howard-shultz-partisanship-idea,Vox,3 weeks ago,4/29/2019 6:00,Howard Schultz,7,1,www.vox.com
19563,Trump expands Venezuela sanctions into embargo | TheHill,0,https://thehill.com/policy/international/americas/456292-trump-expands-venezuela-sanctions-into-embargo,The Hill,16 mins ago,8/5/2019 22:00,Donald Trump,3,1,thehill.com
58303,"De Blasio’s Garner disgrace: His ‘respect’ for the ‘process’ is really just 
passing the buck",1,https://www.nydailynews.com/opinion/ny-oped-de-blasios-garner-disgrace-20190721-poloux7drrfdho5g7z37rfikxy-story.html,New York Daily News,3 hours ago,7/21/2019 8:00,Bill de Blasio,3,1,www.nydailynews.com
8870,,0,,,,3/8/2019 18:00,,,,
40228,"Increasingly desperate second-tier Democratic hopefuls scramble to keep 
presidential bids going",1,https://www.latimes.com/politics/story/2019-07-23/assignment-increasingly-desperate-second-tier-candidates-scramble-to-keep-the-campaigns-going-new-story,Los Angeles Times,1 day ago,7/27/2019 4:00,Amy Klobuchar,9,1,www.latimes.com
31488,Polling uptick pushes Sen. Amy Klobuchar into December debate,0,http://www.startribune.com/sen-amy-klobuchar-earns-slot-in-december-debate/564576772/,Star Tribune,12 hours ago,11/7/2019 6:00,Amy Klobuchar,2,1,www.startribune.com
21860,Californians could have told you Harris wasn’t the real deal,1,https://www.washingtonpost.com/opinions/2019/11/19/californians-could-have-told-you-harris-wasnt-real-deal/,Washington Post,12 hours ago,11/20/2019 4:00,Kamala Harris,3,1,www.washingtonpost.com
56864,Kamala Harris' prosecutor past draws scrutiny in White House bid,1,https://www.reuters.com/article/us-usa-election-harris/kamala-harris-prosecutor-past-draws-scrutiny-in-white-house-bid-idUSKCN1PL0I6,Reuters,1 hour ago,1/27/2019 12:00,Kamala Harris,3,1,www.reuters.com
845,A Debate Warning for Democrats,1,https://www.wsj.com/articles/democrats-and-john-delaneys-dad-11561649812,Wall Street Journal,4 hours ago,6/27/2019 20:00,John Delaney,1,1,www.wsj.com
25770,Beto O’Rourke’s Fund-Raising Falters as 2020 Democrats Announce Finances,1,https://www.nytimes.com/2019/07/15/us/politics/beto-orourke-fundraising-2020.html,The New York Times,12 hours ago,7/16/2019 10:00,Jay Inslee,4,1,www.nytimes.com
50959,"Presidential contender Tim Ryan urges Mitch McConnell to act 'immediately' 
on gun control",0,https://www.courier-journal.com/story/news/politics/mitch-mcconnell/2019/08/08/presidential-hopeful-tim-ryan-leads-gun-control-caravan-louisville/1955609001/,Courier-Journal,1 day ago,8/10/2019 8:00,Tim Ryan,1,1,www.courier-journal.com
56085,Tulsi Gabbard and the Military,0,https://lobelog.com/tulsi-gabbard-and-the-military/,LobeLog,1 day ago,8/7/2019 12:00,Tulsi Gabbard,8,1,lobelog.com
5007,"Who is Eric Swalwell? What You Need to Know About the Presidential 
Candidate.",0,https://www.nytimes.com/2019/04/09/us/swalwell-president.html,The New York Times,1 day ago,4/10/2019 18:00,Eric Swalwell,9,1,www.nytimes.com
40115,Kamala Harris’s Last Stand in Iowa,0,https://www.newyorker.com/news/campaign-chronicles/kamala-harriss-last-stand-in-iowa,The New Yorker,1 day ago,11/13/2019 16:00,Kamala Harris,7,1,www.newyorker.com
38310,"New York Times Erases Amy Klobuchar's Statement in Favor of U.S. Aid to 
Israel",0,https://www.camera.org/article/new-york-times-erases-amy-klobuchars-statement-in-favor-of-u-s-aid-to-israel/,Camera.org,1 day ago,10/31/2019 8:00,Amy Klobuchar,5,1,www.camera.org
33623,"Ben Shapiro: Beto O’Rourke wants to bankrupt virtually every traditional 
religious institution in America",1,https://www.foxnews.com/opinion/ben-shapiro-beto-quiet-part-out-loud,Fox News,3 hours ago,10/17/2019 8:00,Beto O Rourke,1,1,www.foxnews.com
4212,Klobuchar: Barr 'Seems to Think That He Is the President's Lawyer',0,https://www.breitbart.com/clips/2019/04/18/klobuchar-barr-seems-to-think-that-he-is-the-presidents-lawyer/,Breitbart,1 day ago,4/20/2019 6:00,Amy Klobuchar,7,1,www.breitbart.com
40881,Security Doesn't Recognize One Democratic Candidate,0,https://www.newser.com/story/277052/security-doesnt-recognize-one-democratic-candidate.html,Newser,17 hours ago,6/27/2019 12:00,John Hickenlooper,5,1,www.newser.com
